jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc
Arizona (AZ),S-Corp,S Corporation Income Tax Return,120S,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120S_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120S-i.pdf,,,,,3/15/2018,15th day of the 3rd month following fiscal year end,3/15/2018,Due date of the return
Arkansas (AR),S-Corp,S Corporation Income Tax Return,AR1100S,http://staging-dfa-site.ark.org/images/uploads/incomeTaxOffice/AR1100S_2017_Re.pdf,http://staging-dfa-site.ark.org/images/uploads/incomeTaxOffice/SubchapterS_Instructions_2017.pdf,,,,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
Colorado (CO),S-Corp,Pass-Trhough Entity Composite Nonresident Income Tax Form (Partnership/S-Corporation Booklet),106,https://www.colorado.gov/pacific/sites/default/files/106Book.pdf,https://www.colorado.gov/pacific/sites/default/files/106Book.pdf,,,yes,,4/17/2018,"15 day of the fourth month after the close of the tax year, ",,6 months
Delaware (DE),S-Corp,"S CORPORATION RECONCILIATION_x000D_
AND SHAREHOLDERS INFORMATION RETURN",1100-S,https://revenue.delaware.gov/services/current_bt/TY16_1100Se.pdf,https://revenue.delaware.gov/services/current_bt/TY16_1100Si.pdf,,,,,4/30/2018,30th day of the third month following the close of the taxable year,,
Illinois (IL),S-Corp,Small Business Corporation Replacement Tax Return,IL-1120-ST,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/SmallBusiness/IL-1120-ST.pdf,http://tax.illinois.gov/TaxForms/IncmCurrentYear/Business/SmallBusiness/IL-1120-ST-Instr.pdf,,,,,3/15/2018,15th day of the 3rd month following fiscal year end,,AUTOMATIC
Indiana (IN),S-Corp,S Corporation Income Tax Return,IT-20S,Note:  Tax form and nstructions are on the same pdf https://www.in.gov/dor/5696.htm,https://www.in.gov/dor/5696.htm,,,,,4/15/2018,15th day of the 4th month following close of the taxable year,,
Louisiana (LA),S-Corp,Corporation Income Tax Return,CIFT-620SD,http://revenue.louisiana.gov/TaxForms/CIFT620WEB(1_16)F.pdf,http://revenue.louisiana.gov/TaxForms/CIFT620i(1_17).pdf,,,Y,,5/15/2018, 15th day of the fifth month following the close of the taxable year,11/15/2018,6 months
New Jersey (NJ),S-Corp,Corporation Business Tax Return,CBT-100,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100ins.pdf,,,Y,Y,4/17/2018,43388,,"6 month ext (Where a tentative return, Form CBT-200-T, and tax payment are timely and properly filed, it is the policy of the Division of Taxation to grant an extension of no more than six (6) months for filing the CBT-100)"
New York (NY),S-Corp, S Corporation Franchise Tax Return,CT-3-S,https://www.tax.ny.gov/pdf/current_forms/ct/ct3s.pdf,https://www.tax.ny.gov/pdf/current_forms/ct/ct3si.pdf,,,Y,,3/15/2018, 2½ months after the end of your reporting period,9/15/2018,6 month ext
North Carolina (NC),S-Corp,S-Corporation Tax Return,CD-401S,http://www.zillionforms.com/2016/F512213597.PDF,https://files.nc.gov/ncdor/documents/files/2016_cd-401s_inst_s_corporation_tax_return_instructions.pdf?2UwIEXbjSdcgdAsBtAngHltVSl42T3Dl,,,Y,,4/17/2018,,10/15/2018,"15, 2018."
North Dakota (ND),S-Corp,S-CORPORATION INCOME TAX RETURN,60,https://www.nd.gov/tax/data/upfiles/media/form-60_1.pdf?20180111101716,https://www.nd.gov/tax/data/upfiles/media/s-corporation-income-tax-booklet_1.pdf?20180111101751,,,,,3/15/2018,,9/15/2017,
Pennsylvania (PA),S-Corp,S Corporation/Partnership,PA-20S/PA-65,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,,,Y,,4/15/2018,15th day of the fourth month following the close of the fiscal year,9/15/2018,
New Jersey (NJ),Trust,Gross Income Tax Fiduciary Return,NJ-1041,http://www.state.nj.us/treasury/taxation//pdf/current/1041.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/1041i.pdf,,,Y,Depends,4/15/2018,15th day of the fourth month following the close of the tax year of the estate or trust,,"5½ month extension is automatic  with Fed ext for zero returns (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for a state zero return) However, returns with payment due need to file ext form NJ-630 and satisfy payment of 80% requirement - (see the return instructions for detail)"
New York (NY),Trust,Fiduciary Income Tax Return,IT-205,https://www.tax.ny.gov/pdf/current_forms/it/it205_fill_in.pdf,https://www.tax.ny.gov/pdf/current_forms/it/it205i.pdf,,,Y,,4/17/2018,17th day of the fourth month following the close of the tax year (SEE INSTRUCTIONS FOR ADD'L INFO),9/30/2018,5 1/2 month ext
North Carolina (NC),Trust,Estates and Trusts Income Tax Return,D-407,https://files.nc.gov/ncdor/documents/files/2016_d407_estates_and_trusts_income_tax_return_webfill_0.pdf?jkyK8Vih8sYINnfBTHLG2y2hmEYzN5R8,https://files.nc.gov/ncdor/documents/files/2016_d407a_instructions_for_estates_and_trusts_income_tax_return_0.pdf?bRJsf9zsF4hnjdDlO4DyA1pz8OACumQL,,,N,,4/15/2018,,10/15/2018,6 MONTH EXT
North Dakota (ND),Trust,,38,https://www.nd.gov/tax/data/upfiles/media/form-38.pdf?20180111102329,https://www.nd.gov/tax/data/upfiles/media/fiduciary-income-tax-booklet.pdf?20180111102423,,,,,4/17/2018,,9/15/2017,
